name,type,visualDescription,properties,rarity,estimatedValue,visualPrompt
"Espada Curta do Véu","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","247","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Arco Composto do Sussurro","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","200","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Escudo Leve do Sussurro","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","461","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Armadura de Couro da Vigília","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","395","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Cajado Rúnico da Aurora","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","lendário","377","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Adaga Enfeitiçada do Véu","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","433","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Lança Equilibrada do Crepúsculo","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","288","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Elmo da Vigília do Sussurro","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","lendário","384","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Botas Silenciosas da Tempestade","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","388","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Amuleto do Foco da Aurora","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","357","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Espada Curta da Aurora","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","433","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Arco Composto da Aurora","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","394","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Escudo Leve da Tempestade","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","102","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Armadura de Couro do Sussurro","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","lendário","172","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Cajado Rúnico do Crepúsculo","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","55","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Adaga Enfeitiçada do Véu","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","301","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Lança Equilibrada da Aurora","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","102","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Elmo da Vigília da Vigília","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","279","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Botas Silenciosas da Vigília","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","320","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Amuleto do Foco do Véu","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","306","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Espada Curta da Aurora","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","178","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Arco Composto do Crepúsculo","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","185","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Escudo Leve da Vigília","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","156","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Armadura de Couro da Tempestade","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","294","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Cajado Rúnico do Crepúsculo","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","481","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Adaga Enfeitiçada da Aurora","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","101","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Lança Equilibrada da Vigília","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","103","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Elmo da Vigília do Sussurro","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","83","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Botas Silenciosas do Sussurro","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","lendário","431","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Amuleto do Foco do Sussurro","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","301","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Espada Curta do Crepúsculo","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","321","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Arco Composto do Sussurro","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","127","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Escudo Leve do Véu","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","lendário","315","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Armadura de Couro do Véu","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","471","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Cajado Rúnico da Tempestade","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","388","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Adaga Enfeitiçada da Aurora","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","comum","419","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Lança Equilibrada da Tempestade","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","192","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Elmo da Vigília do Véu","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","414","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Botas Silenciosas da Vigília","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","lendário","457","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Amuleto do Foco do Véu","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","297","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Espada Curta do Sussurro","ARMOR","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","épico","146","Item armor com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Arco Composto da Vigília","ACCESSORY","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","300","Item accessory com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Escudo Leve da Tempestade","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","raro","158","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Armadura de Couro da Aurora","WEAPON","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","lendário","493","Item weapon com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Cajado Rúnico do Sussurro","CONSUMABLE","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","90","Item consumable com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
"Adaga Enfeitiçada da Vigília","SHIELD","Peça de artesanato robusto com acabamento polido e runas tênues próximas às arestas. Linhas angulares e proporções equilibradas sugerem manufatura precisa, com leve brilho quando exposta à chama, indicando liga especial ou encantamento sutil.","Bônus moderado a manuseio e precisão | Resistência a intempéries e desgaste | Compatível com alquimia leve para manutenção","incomum","477","Item shield com metal escuro e detalhes luminosos em azul, sobre mesa de madeira em salão medieval, iluminação quente, estilo neon/arcano, foco no objeto com fundo suavemente desfocado."
