name,class,occupation,physicalDescription,personality,background,specialSkills,visualPrompt
"Kellan Dawnhollow","Sorcerer","Monge","Kellan Dawnhollow tem cerca de 1.90m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Monge Sorcerer em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Eira Emberwild","Ranger","Arqueiro","Eira Emberwild tem cerca de 1.83m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Arqueiro Ranger em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Thorne Rivenguard","Rogue","Guardião","Thorne Rivenguard tem cerca de 1.67m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Guardião Rogue em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Lyra Moonblade","Barbarian","Bardo","Lyra Moonblade tem cerca de 1.74m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Bardo Barbarian em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Cassian Skysong","Barbarian","Ranger","Cassian Skysong tem cerca de 1.75m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Ranger Barbarian em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Elara Flameborn","Paladin","Monge","Elara Flameborn tem cerca de 1.92m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Monge Paladin em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Rowan Mistwalker","Bard","Feiticeiro","Rowan Mistwalker tem cerca de 1.82m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Feiticeiro Bard em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Zara Oakenshield","Rogue","Mago","Zara Oakenshield tem cerca de 1.88m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Mago Rogue em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Drake Stonehelm","Warlock","Mago","Drake Stonehelm tem cerca de 1.75m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Mago Warlock em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Nia Brightwind","Wizard","Paladino","Nia Brightwind tem cerca de 1.88m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Paladino Wizard em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Aiden Blackwood","Sorcerer","Vanguarda","Aiden Blackwood tem cerca de 1.89m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Vanguarda Sorcerer em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Luna Stormborn","Wizard","Warlock","Luna Stormborn tem cerca de 1.87m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Warlock Wizard em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Kai Silverleaf","Warlock","Vanguarda","Kai Silverleaf tem cerca de 1.71m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Vanguarda Warlock em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Mara Nightfall","Barbarian","Guerreiro","Mara Nightfall tem cerca de 1.67m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Guerreiro Barbarian em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Orion Ashenvale","Fighter","Clérigo","Orion Ashenvale tem cerca de 1.79m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Clérigo Fighter em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
"Selene Ironheart","Monk","Paladino","Selene Ironheart tem cerca de 1.88m de altura, porte atlético e postura alerta. Traços marcantes nos olhos e mandíbula firme sugerem disciplina e anos de treino. Veste peças de couro reforçado e tecido escuro com detalhes rúnicos discretos, mantendo mobilidade sem perder proteção. O cabelo, bem aparado ou preso, acompanha um semblante atento, pronto para reagir em instantes.","Reservado, observador e pragmático, evita desperdícios e age com precisão. Leal ao grupo, valoriza planejamento e mantém calma sob pressão, usando humor contido para aliviar a tensão quando necessário.","Cresceu em vilas entre bosques antigos, aprendendo rastreamento e sobrevivência com guardiões locais. Após conflitos com saqueadores e criaturas da mata, desenvolveu responsabilidade com as fronteiras, aceitando missões que protegem rotas comerciais e aldeias sob risco constante.","Percepção aguçada e leitura de pistas no terreno | Movimentação silenciosa e posicionamento tático | Tiro preciso ou golpe oportuno em pontos vitais","Paladino Monk em cenário de castelo iluminado por tochas, couro escuro com detalhes metálicos discretos, postura pronta, arco ou lâmina leve, estilo neon/arcano, luz fria em contraste com fundo âmbar."
